n,m,I,D,U,Algo_Time_ms
2048,1048576,2048,2048,7243,122.319
2048,1048576,2048,2048,7185,127.69
2048,1048576,2048,2048,7257,120.758
2048,1048576,2048,2048,7103,122.783
2048,1048576,2048,2048,7351,115.573
2048,1048576,2048,2048,7241,123.456
2048,1048576,2048,2048,7167,117.142
2048,1048576,2048,2048,7150,114.901
2048,1048576,2048,2048,7154,123.233
2048,1048576,2048,2048,7149,123.894
2048,1048576,2048,2048,7241,122.259
2048,1048576,2048,2048,7326,137.195
2048,1048576,2048,2048,7207,128.227
2048,1048576,2048,2048,7271,127.964
2048,1048576,2048,2048,7134,118.117
2048,1048576,2048,2048,7241,120.268
2048,1048576,2048,2048,7321,123.66
2048,1048576,2048,2048,7319,121.599
2048,1048576,2048,2048,7221,115.962
2048,1048576,2048,2048,7301,118.772
2048,1048576,2048,2048,7272,119.04
2048,1048576,2048,2048,7058,123.41
2048,1048576,2048,2048,7143,119.711
2048,1048576,2048,2048,7295,127.973
2048,1048576,2048,2048,7114,119.865
2048,1048576,2048,2048,7278,125.928
2048,1048576,2048,2048,7191,129.28
2048,1048576,2048,2048,7347,116.637
2048,1048576,2048,2048,7137,134.748
2048,1048576,2048,2048,7161,117.461
4096,1048576,4096,4096,13563,123.254
4096,1048576,4096,4096,13380,119.438
4096,1048576,4096,4096,13511,130.606
4096,1048576,4096,4096,13418,120.146
4096,1048576,4096,4096,13508,129.096
4096,1048576,4096,4096,13626,117.841
4096,1048576,4096,4096,13595,125.378
4096,1048576,4096,4096,13565,123.109
4096,1048576,4096,4096,13455,141.069
4096,1048576,4096,4096,13477,129.172
4096,1048576,4096,4096,13423,130.52
4096,1048576,4096,4096,13418,126.499
4096,1048576,4096,4096,13282,119.621
4096,1048576,4096,4096,13499,125.15
4096,1048576,4096,4096,13507,129.72
4096,1048576,4096,4096,13502,121.696
4096,1048576,4096,4096,13483,125.736
4096,1048576,4096,4096,13321,130.512
4096,1048576,4096,4096,13530,130.686
4096,1048576,4096,4096,13566,118.13
4096,1048576,4096,4096,13443,130.451
4096,1048576,4096,4096,13314,130.217
4096,1048576,4096,4096,13619,123.383
4096,1048576,4096,4096,13385,130.611
4096,1048576,4096,4096,13489,122.519
4096,1048576,4096,4096,13409,121.076
4096,1048576,4096,4096,13382,128.021
4096,1048576,4096,4096,13356,124.295
4096,1048576,4096,4096,13607,126.084
4096,1048576,4096,4096,13455,124.036
8192,1048576,8192,8192,24173,121.179
8192,1048576,8192,8192,24005,122.002
8192,1048576,8192,8192,23987,125.268
8192,1048576,8192,8192,24069,122.617
8192,1048576,8192,8192,24184,122.53
8192,1048576,8192,8192,24136,122.637
8192,1048576,8192,8192,24194,121.15
8192,1048576,8192,8192,23904,130.21
8192,1048576,8192,8192,24224,123.128
8192,1048576,8192,8192,24158,121.693
8192,1048576,8192,8192,24040,128.285
8192,1048576,8192,8192,24121,122.764
8192,1048576,8192,8192,24583,121.329
8192,1048576,8192,8192,24391,124.852
8192,1048576,8192,8192,24065,121.771
8192,1048576,8192,8192,24014,127.198
8192,1048576,8192,8192,23857,121.463
8192,1048576,8192,8192,24274,129.955
8192,1048576,8192,8192,23829,134.166
8192,1048576,8192,8192,24269,129.337
8192,1048576,8192,8192,24250,133.837
8192,1048576,8192,8192,24076,131.399
8192,1048576,8192,8192,24411,132.796
8192,1048576,8192,8192,24129,128.308
8192,1048576,8192,8192,24063,132.586
8192,1048576,8192,8192,24293,132.639
8192,1048576,8192,8192,23901,132.543
8192,1048576,8192,8192,23938,132.667
8192,1048576,8192,8192,23911,132.814
8192,1048576,8192,8192,24109,132.482
16384,1048576,16384,16384,40752,140.253
16384,1048576,16384,16384,40585,138.751
16384,1048576,16384,16384,40150,137.077
16384,1048576,16384,16384,40623,139.434
16384,1048576,16384,16384,40436,139.401
16384,1048576,16384,16384,40930,131.497
16384,1048576,16384,16384,40954,132.014
16384,1048576,16384,16384,40865,150.776
16384,1048576,16384,16384,40310,140.199
16384,1048576,16384,16384,40670,140.23
16384,1048576,16384,16384,40465,140.569
16384,1048576,16384,16384,40648,139.637
16384,1048576,16384,16384,40854,140.576
16384,1048576,16384,16384,40657,140.212
16384,1048576,16384,16384,40646,127.451
16384,1048576,16384,16384,40223,140.628
16384,1048576,16384,16384,40567,140.237
16384,1048576,16384,16384,40196,140.065
16384,1048576,16384,16384,40861,139.408
16384,1048576,16384,16384,40510,139.193
16384,1048576,16384,16384,40735,140.451
16384,1048576,16384,16384,40906,140.47
16384,1048576,16384,16384,40422,140.323
16384,1048576,16384,16384,40469,140.47
16384,1048576,16384,16384,40658,140.246
16384,1048576,16384,16384,40710,129.093
16384,1048576,16384,16384,40977,133.945
16384,1048576,16384,16384,40521,140.429
16384,1048576,16384,16384,40353,140.278
16384,1048576,16384,16384,40246,140.054
32768,1048576,32768,32768,63530,147.461
32768,1048576,32768,32768,63609,152.028
32768,1048576,32768,32768,62833,152.457
32768,1048576,32768,32768,62957,136.087
32768,1048576,32768,32768,63280,152.068
32768,1048576,32768,32768,63542,151.558
32768,1048576,32768,32768,63303,152.501
32768,1048576,32768,32768,63122,152.285
32768,1048576,32768,32768,63259,152.073
32768,1048576,32768,32768,63639,151.923
32768,1048576,32768,32768,63246,152.466
32768,1048576,32768,32768,63255,152.244
32768,1048576,32768,32768,63489,152.119
32768,1048576,32768,32768,63352,152.232
32768,1048576,32768,32768,63629,152.54
32768,1048576,32768,32768,63563,135.528
32768,1048576,32768,32768,63603,152.285
32768,1048576,32768,32768,63418,152.095
32768,1048576,32768,32768,63229,137.724
32768,1048576,32768,32768,63513,153.544
32768,1048576,32768,32768,63618,135.062
32768,1048576,32768,32768,63466,135.362
32768,1048576,32768,32768,63382,151.967
32768,1048576,32768,32768,63818,135.45
32768,1048576,32768,32768,63094,151.22
32768,1048576,32768,32768,63585,134.944
32768,1048576,32768,32768,63191,151.989
32768,1048576,32768,32768,63394,152.331
32768,1048576,32768,32768,63404,152.145
32768,1048576,32768,32768,63200,152.334
65536,1048576,65536,65536,88603,164.646
65536,1048576,65536,65536,88794,147.004
65536,1048576,65536,65536,88538,164.086
65536,1048576,65536,65536,88548,164.476
65536,1048576,65536,65536,88641,165.493
65536,1048576,65536,65536,88916,165.089
65536,1048576,65536,65536,88468,164.349
65536,1048576,65536,65536,88316,164.517
65536,1048576,65536,65536,87942,147.313
65536,1048576,65536,65536,88654,147.593
65536,1048576,65536,65536,88859,164.191
65536,1048576,65536,65536,88363,146.135
65536,1048576,65536,65536,88420,164.481
65536,1048576,65536,65536,88858,163.704
65536,1048576,65536,65536,88315,146.15
65536,1048576,65536,65536,88490,164.556
65536,1048576,65536,65536,88260,146.563
65536,1048576,65536,65536,88612,164.541
65536,1048576,65536,65536,88913,161.968
65536,1048576,65536,65536,88119,164.281
65536,1048576,65536,65536,88882,164.7
65536,1048576,65536,65536,88641,164.584
65536,1048576,65536,65536,88627,164.846
65536,1048576,65536,65536,88838,147.356
65536,1048576,65536,65536,88720,164.444
65536,1048576,65536,65536,88563,164.699
65536,1048576,65536,65536,88572,154.106
65536,1048576,65536,65536,88585,164.963
65536,1048576,65536,65536,88774,164.729
65536,1048576,65536,65536,89115,164.767
131072,1048576,131072,131072,102716,184.2
131072,1048576,131072,131072,103045,183.922
131072,1048576,131072,131072,103241,178.76
131072,1048576,131072,131072,102463,183.97
131072,1048576,131072,131072,103144,184.17
131072,1048576,131072,131072,102923,184.216
131072,1048576,131072,131072,103174,165.528
131072,1048576,131072,131072,102716,184.489
131072,1048576,131072,131072,102884,184.45
131072,1048576,131072,131072,102701,170.099
131072,1048576,131072,131072,102682,170.855
131072,1048576,131072,131072,102548,169.788
131072,1048576,131072,131072,102825,180.324
131072,1048576,131072,131072,102383,166.876
131072,1048576,131072,131072,102492,168.159
131072,1048576,131072,131072,102753,165.025
131072,1048576,131072,131072,102756,183.234
131072,1048576,131072,131072,102804,172.63
131072,1048576,131072,131072,102777,176.952
131072,1048576,131072,131072,103246,170.24
131072,1048576,131072,131072,102558,173.294
131072,1048576,131072,131072,102985,169.213
131072,1048576,131072,131072,102599,165.441
131072,1048576,131072,131072,102513,168.661
131072,1048576,131072,131072,102872,183.652
131072,1048576,131072,131072,102781,184.109
131072,1048576,131072,131072,102540,169.688
131072,1048576,131072,131072,102177,174.046
131072,1048576,131072,131072,102804,172.68
131072,1048576,131072,131072,102463,175.434
262144,1048576,262143,262143,86305,200.203
262144,1048576,262143,262143,86152,198.181
262144,1048576,262143,262143,85920,201.341
262144,1048576,262143,262143,86364,197.484
262144,1048576,262143,262143,86055,196.051
262144,1048576,262143,262143,85856,196.073
262144,1048576,262143,262143,85846,196.006
262144,1048576,262143,262143,86159,195.59
262144,1048576,262143,262143,85783,202.065
262144,1048576,262143,262143,85996,195.389
262144,1048576,262143,262143,85748,195.432
262144,1048576,262143,262143,86306,196.708
262144,1048576,262143,262143,85901,196.006
262144,1048576,262143,262143,85428,197.533
262144,1048576,262143,262143,86383,195.315
262144,1048576,262143,262143,86215,211.716
262144,1048576,262143,262143,86449,196.117
262144,1048576,262143,262143,85775,196.358
262144,1048576,262143,262143,86060,196.053
262144,1048576,262143,262143,85846,198.931
262144,1048576,262143,262143,85842,196.48
262144,1048576,262143,262143,85787,209.669
262144,1048576,262143,262143,85516,196.14
262144,1048576,262143,262143,85837,202.704
262144,1048576,262143,262143,86162,195.799
262144,1048576,262143,262143,85984,200.862
